Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ông bà luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,"Trong câu: 'Mùa xuân, yêu thương thật đẹp.', từ 'yêu thương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'yêu thương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi trường luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sách vở luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,"Trong câu: 'Mùa xuân, lịch sử thật đẹp.', từ 'lịch sử' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'lịch sử' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong truyền thống luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong lớp học luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong rực rỡ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong núi non luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm sóc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo từ 'rực rỡ' vào ô thích hợp: Em rất yêu ___ của mình.,rực rỡ | cục đá | bão táp,rực rỡ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong phát triển luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo từ 'thầy cô' vào ô thích hợp: Em rất yêu ___ của mình.,thầy cô | cục đá | bão táp,thầy cô,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mặt trời luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,mặt trời | mặt chời | mặt tdời | mặt trời x,mặt trời,'mặt trời' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,"Trong câu: 'Mùa xuân, chăm sóc thật đẹp.', từ 'chăm sóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chăm sóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,"Trong câu: 'Mùa xuân, quê hương thật đẹp.', từ 'quê hương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'quê hương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,quê hương | quê hương | quê hương | quê hương x,quê hương,'quê hương' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo từ 'thầy cô' vào ô thích hợp: Em rất yêu ___ của mình.,thầy cô | cục đá | bão táp,thầy cô,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo từ 'yêu thương' vào ô thích hợp: Em rất yêu ___ của mình.,yêu thương | cục đá | bão táp,yêu thương,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo từ 'bạn bè' vào ô thích hợp: Em rất yêu ___ của mình.,bạn bè | cục đá | bão táp,bạn bè,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,"Trong câu: 'Mùa xuân, yêu thương thật đẹp.', từ 'yêu thương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'yêu thương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo từ 'sách vở' vào ô thích hợp: Em rất yêu ___ của mình.,sách vở | cục đá | bão táp,sách vở,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong văn hóa luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm chỉ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong bảo vệ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong lịch sử luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm sóc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong núi non luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo từ 'sách vở' vào ô thích hợp: Em rất yêu ___ của mình.,sách vở | cục đá | bão táp,sách vở,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,"Trong câu: 'Mùa xuân, ông bà thật đẹp.', từ 'ông bà' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'ông bà' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,sân chơi | xân chơi | sân chơi | sân chơi x,sân chơi,'sân chơi' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,"Trong câu: 'Mùa xuân, tự hào thật đẹp.', từ 'tự hào' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'tự hào' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,"Trong câu: 'Mùa xuân, sân chơi thật đẹp.', từ 'sân chơi' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'sân chơi' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tổ ấm luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tiến bộ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,"Trong câu: 'Mùa xuân, tiến bộ thật đẹp.', từ 'tiến bộ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'tiến bộ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong yêu thương luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,"Trong câu: 'Mùa xuân, tự hào thật đẹp.', từ 'tự hào' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'tự hào' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,chăm chỉ | chăm chỉ | chăm chỉ | chăm chỉ x,chăm chỉ,'chăm chỉ' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,"Trong câu: 'Mùa xuân, gia đình thật đẹp.', từ 'gia đình' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'gia đình' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,sách vở | xách vở | sách vở | sách vở x,sách vở,'sách vở' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,yêu thương | yêu thương | yêu thương | yêu thương x,yêu thương,'yêu thương' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong thầy cô luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,"Trong câu: 'Mùa xuân, cha mẹ thật đẹp.', từ 'cha mẹ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'cha mẹ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo từ 'mát mẻ' vào ô thích hợp: Em rất yêu ___ của mình.,mát mẻ | cục đá | bão táp,mát mẻ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo từ 'cây xanh' vào ô thích hợp: Em rất yêu ___ của mình.,cây xanh | cục đá | bão táp,cây xanh,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong phát triển luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tổ ấm luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong yêu thương luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,"Trong câu: 'Mùa xuân, chim chóc thật đẹp.', từ 'chim chóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chim chóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong phát triển luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,"Trong câu: 'Mùa xuân, cây xanh thật đẹp.', từ 'cây xanh' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'cây xanh' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong bảo vệ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
