Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Chữ số 5 trong số thập phân 45.56 có giá trị là bao nhiêu?,5/10,5,5/100,5/1000,5/10
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,fill_blank,Điền số thích hợp: 2 ha = ... m²,20000,2000,200,20,20000
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,fill_blank,Điền số thích hợp: 4 ha = ... m²,40000,4000,400,40,40000
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,comparison,So sánh hai số thập phân: 98.8 ... 98.80,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,comparison,So sánh hai số thập phân: 65.9 ... 65.90,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Số thập phân gồm 33 đơn vị và 7 phần mười viết là:,7.33,33.07,33.7,337,33.7
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Số thập phân gồm 22 đơn vị và 4 phần mười viết là:,4.22,22.04,22.4,224,22.4
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Chữ số 8 trong số thập phân 45.86 có giá trị là bao nhiêu?,8/100,8/1000,8,8/10,8/10
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Chữ số 1 trong số thập phân 45.16 có giá trị là bao nhiêu?,1/10,1/100,1/1000,1,1/10
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,fill_blank,Điền số thích hợp: 7 ha = ... m²,70000,7000,700,70,70000
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,fill_blank,Điền số thích hợp: 5 ha = ... m²,50000,5000,500,50,50000
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,comparison,So sánh hai số thập phân: 86.9 ... 86.90,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,comparison,So sánh hai số thập phân: 63.3 ... 63.30,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 3,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Số thập phân gồm 23 đơn vị và 7 phần mười viết là:,7.23,23.07,237,23.7,23.7
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Số thập phân gồm 13 đơn vị và 1 phần mười viết là:,13.1,1.13,13.01,131,13.1
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Chữ số 8 trong số thập phân 45.86 có giá trị là bao nhiêu?,8/100,8/10,8,8/1000,8/10
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Chữ số 6 trong số thập phân 45.66 có giá trị là bao nhiêu?,6/100,6/10,6,6/1000,6/10
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,fill_blank,Điền số thích hợp: 2 ha = ... m²,20000,2000,200,20,20000
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,fill_blank,Điền số thích hợp: 8 ha = ... m²,80000,8000,800,80,80000
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,comparison,So sánh hai số thập phân: 92.4 ... 92.40,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,comparison,So sánh hai số thập phân: 26.9 ... 26.90,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 4,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Số thập phân gồm 59 đơn vị và 5 phần mười viết là:,5.59,59.5,595,59.05,59.5
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Số thập phân gồm 73 đơn vị và 7 phần mười viết là:,737,73.7,73.07,7.73,73.7
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Chữ số 2 trong số thập phân 45.26 có giá trị là bao nhiêu?,2/100,2/1000,2/10,2,2/10
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Chữ số 8 trong số thập phân 45.86 có giá trị là bao nhiêu?,8/1000,8/10,8/100,8,8/10
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,fill_blank,Điền số thích hợp: 6 ha = ... m²,60000,6000,600,60,60000
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,fill_blank,Điền số thích hợp: 6 ha = ... m²,60000,6000,600,60,60000
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,comparison,So sánh hai số thập phân: 82.5 ... 82.50,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,comparison,So sánh hai số thập phân: 95.9 ... 95.90,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 5,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Số thập phân gồm 92 đơn vị và 2 phần mười viết là:,922,92.2,92.02,2.92,92.2
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Số thập phân gồm 30 đơn vị và 5 phần mười viết là:,30.05,305,30.5,5.30,30.5
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Chữ số 1 trong số thập phân 45.16 có giá trị là bao nhiêu?,1/100,1,1/1000,1/10,1/10
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Chữ số 2 trong số thập phân 45.26 có giá trị là bao nhiêu?,2/10,2/1000,2/100,2,2/10
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,fill_blank,Điền số thích hợp: 6 ha = ... m²,60000,6000,600,60,60000
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,fill_blank,Điền số thích hợp: 7 ha = ... m²,70000,7000,700,70,70000
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,comparison,So sánh hai số thập phân: 59.5 ... 59.50,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,comparison,So sánh hai số thập phân: 65.1 ... 65.10,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 6,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Số thập phân gồm 35 đơn vị và 9 phần mười viết là:,35.09,359,9.35,35.9,35.9
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Số thập phân gồm 25 đơn vị và 1 phần mười viết là:,25.1,251,1.25,25.01,25.1
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Chữ số 7 trong số thập phân 45.76 có giá trị là bao nhiêu?,7/10,7,7/1000,7/100,7/10
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Chữ số 7 trong số thập phân 45.76 có giá trị là bao nhiêu?,7/1000,7,7/10,7/100,7/10
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,fill_blank,Điền số thích hợp: 7 ha = ... m²,70000,7000,700,70,70000
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,fill_blank,Điền số thích hợp: 3 ha = ... m²,30000,3000,300,30,30000
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,comparison,So sánh hai số thập phân: 45.9 ... 45.90,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,comparison,So sánh hai số thập phân: 43.6 ... 43.60,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 7,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Số thập phân gồm 17 đơn vị và 1 phần mười viết là:,1.17,17.1,171,17.01,17.1
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Số thập phân gồm 61 đơn vị và 6 phần mười viết là:,61.6,616,6.61,61.06,61.6
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Chữ số 6 trong số thập phân 45.66 có giá trị là bao nhiêu?,6/10,6/100,6,6/1000,6/10
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Chữ số 5 trong số thập phân 45.56 có giá trị là bao nhiêu?,5,5/1000,5/10,5/100,5/10
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,fill_blank,Điền số thích hợp: 8 ha = ... m²,80000,8000,800,80,80000
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,fill_blank,Điền số thích hợp: 2 ha = ... m²,20000,2000,200,20,20000
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,comparison,So sánh hai số thập phân: 79.5 ... 79.50,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,comparison,So sánh hai số thập phân: 12.9 ... 12.90,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 8,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Số thập phân gồm 75 đơn vị và 2 phần mười viết là:,2.75,75.02,752,75.2,75.2
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Số thập phân gồm 49 đơn vị và 1 phần mười viết là:,1.49,491,49.1,49.01,49.1
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Chữ số 3 trong số thập phân 45.36 có giá trị là bao nhiêu?,3/100,3,3/10,3/1000,3/10
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Chữ số 6 trong số thập phân 45.66 có giá trị là bao nhiêu?,6/1000,6/10,6,6/100,6/10
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,fill_blank,Điền số thích hợp: 3 ha = ... m²,30000,3000,300,30,30000
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,fill_blank,Điền số thích hợp: 8 ha = ... m²,80000,8000,800,80,80000
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,comparison,So sánh hai số thập phân: 57.5 ... 57.50,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,comparison,So sánh hai số thập phân: 86.4 ... 86.40,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 9,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Số thập phân gồm 92 đơn vị và 2 phần mười viết là:,92.2,922,92.02,2.92,92.2
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Số thập phân gồm 55 đơn vị và 8 phần mười viết là:,55.08,558,55.8,8.55,55.8
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Chữ số 5 trong số thập phân 45.56 có giá trị là bao nhiêu?,5,5/1000,5/10,5/100,5/10
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Chữ số 8 trong số thập phân 45.86 có giá trị là bao nhiêu?,8,8/10,8/100,8/1000,8/10
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,fill_blank,Điền số thích hợp: 8 ha = ... m²,80000,8000,800,80,80000
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,fill_blank,Điền số thích hợp: 3 ha = ... m²,30000,3000,300,30,30000
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,comparison,So sánh hai số thập phân: 82.3 ... 82.30,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,comparison,So sánh hai số thập phân: 52.2 ... 52.20,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 10,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,Tính tổng: 9.8 + 3.2 =,13.0,13.1,14.0,12.5,13.0
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,Tính tổng: 6.7 + 2.6 =,9.3,10.3,9.4,8.8,9.3
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,fill_blank,Tìm 25% của 400 kg:,100,10,1000,25,100
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,fill_blank,Tìm 50% của 920 kg:,460,46,4600,50,460
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 5cm, cao 7cm là:",70,8.75,17.5,35,17.5
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 14cm, cao 9cm là:",63.0,252,126,31.5,63.0
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,comparison,So sánh: 4.0 x 10 ... 4.0 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,comparison,So sánh: 6.7 x 10 ... 6.7 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,true_false,Đúng hay sai: Lãi suất 25% của 100 000 đồng là 25000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 1,5,end1,true_false,Đúng hay sai: Lãi suất 20% của 100 000 đồng là 20000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,Tính tổng: 1.7 + 3.8 =,6.5,5.0,5.6,5.5,5.5
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,Tính tổng: 4.0 + 1.9 =,6.0,5.9,5.4,6.9,5.9
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,fill_blank,Tìm 25% của 730 kg:,182,18,1825,25,182
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,fill_blank,Tìm 50% của 740 kg:,370,37,3700,50,370
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 5cm, cao 5cm là:",12.5,50,6.25,25,12.5
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 9cm, cao 7cm là:",15.75,31.5,63,126,31.5
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,comparison,So sánh: 6.8 x 10 ... 6.8 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,comparison,So sánh: 8.3 x 10 ... 8.3 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,true_false,Đúng hay sai: Lãi suất 25% của 100 000 đồng là 25000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 2,5,end1,true_false,Đúng hay sai: Lãi suất 25% của 100 000 đồng là 25000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,Tính tổng: 8.8 + 3.9 =,12.8,12.7,13.7,12.2,12.7
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,Tính tổng: 8.7 + 4.9 =,13.6,13.7,14.6,13.1,13.6
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,fill_blank,Tìm 10% của 690 kg:,69,7,690,10,69
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,fill_blank,Tìm 15% của 990 kg:,148,15,1485,,148
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 13cm, cao 10cm là:",130,65.0,260,32.5,65.0
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 12cm, cao 5cm là:",120,30.0,15.0,60,30.0
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,comparison,So sánh: 5.6 x 10 ... 5.6 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,comparison,So sánh: 8.0 x 10 ... 8.0 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,true_false,Đúng hay sai: Lãi suất 20% của 100 000 đồng là 20000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 3,5,end1,true_false,Đúng hay sai: Lãi suất 50% của 100 000 đồng là 50000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,Tính tổng: 6.5 + 3.2 =,9.8,9.7,9.2,10.7,9.7
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,Tính tổng: 2.2 + 4.3 =,7.5,6.6,6.0,6.5,6.5
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,fill_blank,Tìm 15% của 350 kg:,52,5,525,15,52
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,fill_blank,Tìm 20% của 230 kg:,46,5,460,20,46
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 7cm, cao 9cm là:",31.5,126,15.75,63,31.5
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 8cm, cao 8cm là:",64,32.0,16.0,128,32.0
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,comparison,So sánh: 5.2 x 10 ... 5.2 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,comparison,So sánh: 9.1 x 10 ... 9.1 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,true_false,Đúng hay sai: Lãi suất 10% của 100 000 đồng là 10000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 4,5,end1,true_false,Đúng hay sai: Lãi suất 20% của 100 000 đồng là 20000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,Tính tổng: 4.0 + 1.1 =,4.6,5.2,5.1,6.1,5.1
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,Tính tổng: 7.0 + 1.8 =,8.3,8.9,8.8,9.8,8.8
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,fill_blank,Tìm 25% của 290 kg:,72,7,725,25,72
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,fill_blank,Tìm 20% của 750 kg:,150,15,1500,20,150
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 13cm, cao 8cm là:",104,208,52.0,26.0,52.0
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 10cm, cao 9cm là:",22.5,180,45.0,90,45.0
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,comparison,So sánh: 2.8 x 10 ... 2.8 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,comparison,So sánh: 1.3 x 10 ... 1.3 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,true_false,Đúng hay sai: Lãi suất 10% của 100 000 đồng là 10000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 5,5,end1,true_false,Đúng hay sai: Lãi suất 20% của 100 000 đồng là 20000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,Tính tổng: 8.6 + 3.0 =,12.6,11.1,11.7,11.6,11.6
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,Tính tổng: 9.7 + 2.8 =,12.6,13.5,12.0,12.5,12.5
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,fill_blank,Tìm 10% của 780 kg:,78,8,780,10,78
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,fill_blank,Tìm 50% của 510 kg:,255,26,2550,50,255
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 9cm, cao 4cm là:",36,9.0,72,18.0,18.0
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 6cm, cao 7cm là:",21.0,42,84,10.5,21.0
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,comparison,So sánh: 5.9 x 10 ... 5.9 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,comparison,So sánh: 2.2 x 10 ... 2.2 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,true_false,Đúng hay sai: Lãi suất 10% của 100 000 đồng là 10000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 6,5,end1,true_false,Đúng hay sai: Lãi suất 10% của 100 000 đồng là 10000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,Tính tổng: 7.8 + 3.1 =,10.9,10.4,11.0,11.9,10.9
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,Tính tổng: 3.2 + 3.9 =,6.6,7.1,7.2,8.1,7.1
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,fill_blank,Tìm 25% của 560 kg:,140,14,1400,25,140
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,fill_blank,Tìm 15% của 140 kg:,21,2,210,15,21
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 12cm, cao 8cm là:",192,48.0,96,24.0,48.0
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,"Diện tích hình tam giác có đáy 13cm, cao 7cm là:",182,45.5,22.75,91,45.5
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,comparison,So sánh: 8.7 x 10 ... 8.7 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,comparison,So sánh: 8.8 x 10 ... 8.8 : 0.1,>,<,=,,=
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,true_false,Đúng hay sai: Lãi suất 50% của 100 000 đồng là 50000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 7,5,end1,true_false,Đúng hay sai: Lãi suất 15% của 100 000 đồng là 15000 đồng.,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,Tính tổng: 6.3 + 3.2 =,10.5,9.0,9.5,9.6,9.5
